classifier,memory_budget_bytes,model_size_bytes,entries_tested,fpr_learning,fp_permuted_cuckoo_lbf,fp_noy_cuckoo,noy_skipped_items
GaussianNB,52424,1943,43078,0.034286642833929154,0.006476623798690747,0.007312317192070198,60148
GaussianNB,104856,1943,42895,0.03454948129152582,0.0031005944748805224,0.0038699149084974937,20349
GaussianNB,262144,1943,43038,0.034713508992053534,0.0017658813141874622,0.001626469631488452,7139
GaussianNB,524288,1943,42898,0.033847731828989695,0.0004429110914261737,0.0007692666324770385,6280
LinearSVC,52424,1419,42848,0.037878080657206874,0.005344473487677371,0.0062546676624346525,60139
LinearSVC,104856,1419,42909,0.03831364049500105,0.0032161085087044675,0.0035423803863991236,20338
LinearSVC,262144,1419,42669,0.03956033654409524,0.0012655557899177389,0.0018045888115493685,7141
LinearSVC,524288,1419,42835,0.03938368156881055,0.0007470526438659974,0.0008637796194700595,6279
