classifier,memory_budget_bytes,model_size_bytes,entries_tested,fpr_classical,fpr_learning,fp_permuted_partitioned_lbf
GaussianNB,52424,1943,43006,0.4058503464632842,0.033506952518253266,0.3023764125935916
GaussianNB,104856,1943,42737,0.15075929522427872,0.03502819570863654,0.08896272550717177
GaussianNB,262144,1943,42335,0.009070509035077359,0.03368371323963623,0.002551080666115507
GaussianNB,524288,1943,43004,0.00025579015905497166,0.034299134964189376,0.00013952190493907542
LinearSVC,52424,1419,42741,0.4070096628529983,0.03940010762499708,0.2817903184296109
LinearSVC,104856,1419,42725,0.15297834991222936,0.03922761849034523,0.07810415447630194
LinearSVC,262144,1419,42859,0.00916960265055181,0.03931496301826921,0.002146573648475233
LinearSVC,524288,1419,42548,0.0002115258061483501,0.03934379994359312,0.00011751433674908338
