alpha,downtown_fpr,classical_fpr
0.000000,0.023495,0.096364
0.100000,0.038103,0.096364
0.200000,0.052710,0.096364
0.300000,0.067318,0.096364
0.400000,0.081926,0.096364
0.500000,0.096534,0.096364
0.600000,0.111142,0.096364
0.700000,0.125750,0.096364
0.800000,0.140357,0.096364
0.900000,0.154965,0.096364
1.000000,0.169573,0.096364
