q_n,downtown_fpr,classical_fpr
0.000000,0.092141,0.096364
0.100000,0.093020,0.096364
0.200000,0.093898,0.096364
0.300000,0.094777,0.096364
0.400000,0.095655,0.096364
0.500000,0.096534,0.096364
0.600000,0.097413,0.096364
0.700000,0.098291,0.096364
0.800000,0.099170,0.096364
0.900000,0.100048,0.096364
1.000000,0.100927,0.096364
