q_n,downtown_fpr,classical_fpr
0.000000,0.045682,0.096364
0.100000,0.047087,0.096364
0.200000,0.048493,0.096364
0.300000,0.049899,0.096364
0.400000,0.051305,0.096364
0.500000,0.052710,0.096364
0.600000,0.054116,0.096364
0.700000,0.055522,0.096364
0.800000,0.056928,0.096364
0.900000,0.058334,0.096364
1.000000,0.059739,0.096364
