q_n,downtown_fpr,classical_fpr
0.000000,0.169573,0.096364
0.100000,0.169573,0.096364
0.200000,0.169573,0.096364
0.300000,0.169573,0.096364
0.400000,0.169573,0.096364
0.500000,0.169573,0.096364
0.600000,0.169573,0.096364
0.700000,0.169573,0.096364
0.800000,0.169573,0.096364
0.900000,0.169573,0.096364
1.000000,0.169573,0.096364
