alpha,downtown_fpr,classical_fpr
0.000000,0.000511,0.013209
0.100000,0.003051,0.013209
0.200000,0.005591,0.013209
0.300000,0.008130,0.013209
0.400000,0.010670,0.013209
0.500000,0.013210,0.013209
0.600000,0.015750,0.013209
0.700000,0.018290,0.013209
0.800000,0.020830,0.013209
0.900000,0.023369,0.013209
1.000000,0.025909,0.013209
