alpha,downtown_fpr,classical_fpr
0.000000,0.000912,0.017723
0.100000,0.004275,0.017723
0.200000,0.007637,0.017723
0.300000,0.011000,0.017723
0.400000,0.014362,0.017723
0.500000,0.017724,0.017723
0.600000,0.021087,0.017723
0.700000,0.024449,0.017723
0.800000,0.027812,0.017723
0.900000,0.031174,0.017723
1.000000,0.034536,0.017723
